,path,emotion
0,data/emodb/wav\03a01Fa.wav,happy
1,data/emodb/wav\03a01Nc.wav,neutral
2,data/emodb/wav\03a02Fc.wav,happy
3,data/emodb/wav\03a02Nc.wav,neutral
4,data/emodb/wav\03a02Ta.wav,sad
5,data/emodb/wav\03a04Fd.wav,happy
6,data/emodb/wav\03a04Nc.wav,neutral
7,data/emodb/wav\03a04Ta.wav,sad
8,data/emodb/wav\03a05Fc.wav,happy
9,data/emodb/wav\03a05Nd.wav,neutral
10,data/emodb/wav\03a05Tc.wav,sad
11,data/emodb/wav\03a07Fa.wav,happy
12,data/emodb/wav\03a07Fb.wav,happy
13,data/emodb/wav\03a07Nc.wav,neutral
14,data/emodb/wav\03b01Fa.wav,happy
15,data/emodb/wav\03b01Nb.wav,neutral
16,data/emodb/wav\03b01Td.wav,sad
17,data/emodb/wav\03b02Na.wav,neutral
18,data/emodb/wav\03b02Tb.wav,sad
19,data/emodb/wav\03b03Nb.wav,neutral
20,data/emodb/wav\03b03Tc.wav,sad
21,data/emodb/wav\03b09Nc.wav,neutral
22,data/emodb/wav\03b09Tc.wav,sad
23,data/emodb/wav\03b10Na.wav,neutral
24,data/emodb/wav\03b10Nc.wav,neutral
25,data/emodb/wav\08a01Fd.wav,happy
26,data/emodb/wav\08a01Na.wav,neutral
27,data/emodb/wav\08a02Fe.wav,happy
28,data/emodb/wav\08a02Na.wav,neutral
29,data/emodb/wav\08a02Tb.wav,sad
30,data/emodb/wav\08a04Ff.wav,happy
31,data/emodb/wav\08a04Nc.wav,neutral
32,data/emodb/wav\08a04Tb.wav,sad
33,data/emodb/wav\08a05Fe.wav,happy
34,data/emodb/wav\08a05Nb.wav,neutral
35,data/emodb/wav\08a05Ta.wav,sad
36,data/emodb/wav\08a07Fd.wav,happy
37,data/emodb/wav\08a07Na.wav,neutral
38,data/emodb/wav\08a07Ta.wav,sad
39,data/emodb/wav\08a07Tb.wav,sad
40,data/emodb/wav\08b01Fd.wav,happy
41,data/emodb/wav\08b01Fe.wav,happy
42,data/emodb/wav\08b01Na.wav,neutral
43,data/emodb/wav\08b02Ff.wav,happy
44,data/emodb/wav\08b02Nb.wav,neutral
45,data/emodb/wav\08b02Tc.wav,sad
46,data/emodb/wav\08b03Fe.wav,happy
47,data/emodb/wav\08b03Nb.wav,neutral
48,data/emodb/wav\08b03Tc.wav,sad
49,data/emodb/wav\08b09Fd.wav,happy
50,data/emodb/wav\08b09Nb.wav,neutral
51,data/emodb/wav\08b09Tb.wav,sad
52,data/emodb/wav\08b10Fd.wav,happy
53,data/emodb/wav\08b10Nc.wav,neutral
54,data/emodb/wav\08b10Tc.wav,sad
55,data/emodb/wav\09a01Fa.wav,happy
56,data/emodb/wav\09a01Nb.wav,neutral
57,data/emodb/wav\09a04Fd.wav,happy
58,data/emodb/wav\09a04Nb.wav,neutral
59,data/emodb/wav\09a05Nb.wav,neutral
60,data/emodb/wav\09a05Tb.wav,sad
61,data/emodb/wav\09a07Na.wav,neutral
62,data/emodb/wav\09a07Ta.wav,sad
63,data/emodb/wav\09b01Na.wav,neutral
64,data/emodb/wav\09b02Na.wav,neutral
65,data/emodb/wav\09b02Tb.wav,sad
66,data/emodb/wav\09b03Fa.wav,happy
67,data/emodb/wav\09b03Fd.wav,happy
68,data/emodb/wav\09b03Nb.wav,neutral
69,data/emodb/wav\09b03Ta.wav,sad
70,data/emodb/wav\09b09Nd.wav,neutral
71,data/emodb/wav\09b10Nd.wav,neutral
72,data/emodb/wav\10a01Nb.wav,neutral
73,data/emodb/wav\10a02Fa.wav,happy
74,data/emodb/wav\10a02Na.wav,neutral
75,data/emodb/wav\10a04Fd.wav,happy
76,data/emodb/wav\10a04Nb.wav,neutral
77,data/emodb/wav\10a05Tb.wav,sad
78,data/emodb/wav\10a07Ta.wav,sad
79,data/emodb/wav\10b01Fa.wav,happy
80,data/emodb/wav\10b02Na.wav,neutral
81,data/emodb/wav\10b03Tb.wav,sad
82,data/emodb/wav\10b10Fc.wav,happy
83,data/emodb/wav\11a01Nd.wav,neutral
84,data/emodb/wav\11a02Fb.wav,happy
85,data/emodb/wav\11a02Nc.wav,neutral
86,data/emodb/wav\11a02Tc.wav,sad
87,data/emodb/wav\11a04Fd.wav,happy
88,data/emodb/wav\11a04Nd.wav,neutral
89,data/emodb/wav\11a05Fb.wav,happy
90,data/emodb/wav\11a05Fc.wav,happy
91,data/emodb/wav\11a05Na.wav,neutral
92,data/emodb/wav\11a05Td.wav,sad
93,data/emodb/wav\11a07Ta.wav,sad
94,data/emodb/wav\11b01Fc.wav,happy
95,data/emodb/wav\11b01Nc.wav,neutral
96,data/emodb/wav\11b02Fd.wav,happy
97,data/emodb/wav\11b02Na.wav,neutral
98,data/emodb/wav\11b02Td.wav,sad
99,data/emodb/wav\11b03Fc.wav,happy
100,data/emodb/wav\11b03Nb.wav,neutral
101,data/emodb/wav\11b03Td.wav,sad
102,data/emodb/wav\11b09Fd.wav,happy
103,data/emodb/wav\11b09Na.wav,neutral
104,data/emodb/wav\11b09Td.wav,sad
105,data/emodb/wav\11b10Nc.wav,neutral
106,data/emodb/wav\11b10Td.wav,sad
107,data/emodb/wav\12a01Fb.wav,happy
108,data/emodb/wav\12a01Nb.wav,neutral
109,data/emodb/wav\12a02Nb.wav,neutral
110,data/emodb/wav\12a05Nd.wav,neutral
111,data/emodb/wav\12a05Ta.wav,sad
112,data/emodb/wav\12b01Ta.wav,sad
113,data/emodb/wav\12b02Fb.wav,happy
114,data/emodb/wav\12b02Na.wav,neutral
115,data/emodb/wav\12b03Ta.wav,sad
116,data/emodb/wav\12b09Td.wav,sad
117,data/emodb/wav\13a01Fd.wav,happy
118,data/emodb/wav\13a01Nb.wav,neutral
119,data/emodb/wav\13a02Fa.wav,happy
120,data/emodb/wav\13a02Nc.wav,neutral
121,data/emodb/wav\13a02Ta.wav,sad
122,data/emodb/wav\13a04Fc.wav,happy
123,data/emodb/wav\13a04Ta.wav,sad
124,data/emodb/wav\13a05Nb.wav,neutral
125,data/emodb/wav\13a05Tc.wav,sad
126,data/emodb/wav\13a07Fd.wav,happy
127,data/emodb/wav\13a07Na.wav,neutral
128,data/emodb/wav\13a07Tc.wav,sad
129,data/emodb/wav\13b01Fc.wav,happy
130,data/emodb/wav\13b01Nc.wav,neutral
131,data/emodb/wav\13b02Fb.wav,happy
132,data/emodb/wav\13b02Nb.wav,neutral
133,data/emodb/wav\13b03Fd.wav,happy
134,data/emodb/wav\13b03Na.wav,neutral
135,data/emodb/wav\13b03Td.wav,sad
136,data/emodb/wav\13b09Fb.wav,happy
137,data/emodb/wav\13b09Fc.wav,happy
138,data/emodb/wav\13b09Na.wav,neutral
139,data/emodb/wav\13b10Fa.wav,happy
140,data/emodb/wav\13b10Nc.wav,neutral
141,data/emodb/wav\14a01Na.wav,neutral
142,data/emodb/wav\14a02Fd.wav,happy
143,data/emodb/wav\14a02Nc.wav,neutral
144,data/emodb/wav\14a02Tb.wav,sad
145,data/emodb/wav\14a04Tb.wav,sad
146,data/emodb/wav\14a04Tc.wav,sad
147,data/emodb/wav\14a05Fa.wav,happy
148,data/emodb/wav\14a05Fb.wav,happy
149,data/emodb/wav\14a05Na.wav,neutral
150,data/emodb/wav\14a05Ta.wav,sad
151,data/emodb/wav\14a05Tc.wav,sad
152,data/emodb/wav\14a07Fd.wav,happy
153,data/emodb/wav\14a07Na.wav,neutral
154,data/emodb/wav\14a07Tc.wav,sad
155,data/emodb/wav\14b01Fa.wav,happy
156,data/emodb/wav\14b01Fc.wav,happy
157,data/emodb/wav\14b01Na.wav,neutral
158,data/emodb/wav\14b02Fb.wav,happy
159,data/emodb/wav\14b02Na.wav,neutral
160,data/emodb/wav\14b02Tc.wav,sad
161,data/emodb/wav\14b03Ta.wav,sad
162,data/emodb/wav\14b09Fc.wav,happy
163,data/emodb/wav\14b09Td.wav,sad
164,data/emodb/wav\14b10Nb.wav,neutral
165,data/emodb/wav\14b10Tc.wav,sad
166,data/emodb/wav\15a01Fb.wav,happy
167,data/emodb/wav\15a01Nb.wav,neutral
168,data/emodb/wav\15a02Na.wav,neutral
